case,workers,binary,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms,peak_rss_kib
sum-time,2,baseline,3,2.12834,2.10483,2.15667,1.87344,1.86956,2.01221,128852
sum-time,2,current,3,1.30562,1.30305,1.34512,1.12442,1.1196,1.13,114384
sum-time,4,baseline,3,1.44973,1.42619,1.51846,1.40421,1.37783,1.40797,159748
sum-time,4,current,3,1.55576,0.92859,1.70774,1.42086,0.797314,1.46261,135008
sum-time,8,baseline,3,2.80151,2.60146,2.94654,2.99744,2.79129,3.07464,239204
sum-time,8,current,3,2.20855,2.20847,2.51064,1.09803,0.690969,1.18101,194372
sum-time,16,baseline,3,4.76982,4.419,5.44694,5.62165,4.99328,5.80926,381000
sum-time,16,current,3,1.11726,1.06292,1.21446,0.946718,0.840266,0.957766,258120
sum-time,default,baseline,3,3.98859,3.89256,4.4625,5.22843,5.19373,5.25617,784216
sum-time,default,current,3,0.924017,0.916089,1.00208,0.677662,0.647245,0.684125,381096
extrema-time,1,baseline,3,4.25594,4.17433,4.32439,3.82105,3.7007,4.15443,103912
extrema-time,1,current,3,3.12522,3.03932,3.16901,2.75617,2.74267,2.7832,103772
extrema-time,2,baseline,3,2.95558,2.92891,3.04479,2.66462,2.62207,2.67632,136888
extrema-time,2,current,3,2.05112,2.04083,3.82062,1.83252,1.82292,2.30933,114404
extrema-time,4,baseline,3,2.35032,2.3029,2.37772,2.3535,2.26375,2.44584,202516
extrema-time,4,current,3,2.27393,1.42629,2.57987,1.86655,1.23548,2.2203,135012
extrema-time,8,baseline,3,3.38634,3.17287,3.63579,3.3869,3.34807,3.43526,333536
extrema-time,8,current,3,2.12102,2.01632,2.23773,1.81567,1.4454,2.07508,176408
extrema-time,16,baseline,3,4.15189,4.12448,4.46824,4.88719,4.58504,5.00774,559208
extrema-time,16,current,3,1.44419,1.3524,1.51864,1.26968,1.21062,1.35331,258044
extrema-time,default,baseline,3,4.29501,4.27285,4.71958,6.37881,6.0584,6.47432,821784
extrema-time,default,current,3,1.26016,1.2009,1.26234,0.957532,0.938134,0.975341,381420
count,1,baseline,3,2.8556,2.83967,2.97521,2.70349,2.68539,2.70961,71536
count,1,current,3,1.82407,1.8133,2.00243,1.66212,1.66156,1.67589,71328
count,2,baseline,3,2.08392,2.05857,2.1081,1.7293,1.69495,1.79808,96136
count,2,current,3,1.26085,1.25438,1.28119,1.11621,1.11279,1.14216,81564
count,4,baseline,3,1.59104,1.49805,2.17445,1.45128,1.42286,2.15762,126732
count,4,current,3,0.922323,0.890332,1.08845,0.753063,0.731622,0.814687,102364
count,8,baseline,3,2.64736,1.46607,2.89826,2.661,1.5962,2.67004,200656
count,8,current,3,1.41452,1.27541,1.49971,1.2486,1.06093,1.37565,143464
count,16,baseline,3,4.97783,4.49197,6.54667,5.34109,5.03302,5.71665,348504
count,16,current,3,0.874575,0.862873,0.895732,0.917731,0.794509,1.07863,225356
count,default,baseline,3,3.47542,3.40525,3.55967,3.35035,3.12832,3.75944,518660
count,default,current,3,0.797195,0.691022,0.812567,0.571386,0.568314,0.640817,348440
statistics,1,baseline,3,10.3892,10.07,10.4227,9.12161,8.96031,9.28278,87684
statistics,1,current,3,6.01174,5.92599,6.48597,4.77758,4.65543,5.03334,85628
statistics,2,baseline,3,6.50684,6.39504,6.68112,5.47555,5.37813,5.60452,112316
statistics,2,current,3,4.40888,4.40174,4.70717,2.95429,2.93826,3.02334,104020
statistics,4,baseline,3,4.87336,4.87303,6.72496,3.62727,3.58863,3.6614,165744
statistics,4,current,3,4.02174,3.87071,4.39292,2.43227,2.33279,2.49363,129032
statistics,8,baseline,3,7.07728,7.02099,7.95221,4.9641,4.79875,5.7504,257988
statistics,8,current,3,4.1802,3.79353,4.51943,2.31985,2.00451,2.94112,170136
statistics,16,baseline,3,11.4514,11.2918,12.2717,11.5605,11.2437,12.3497,581676
statistics,16,current,3,3.70056,3.52003,5.20474,1.74492,1.67178,3.0429,251988
