case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
sum-f64,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,4,1000000,65536,1.6064,200320,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.04122,1.61502,1.41343,2.04122,2.52466,2.79378
sum-f64,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,5,1000000,65536,2.59907,200208,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.80062,2.80062,2.47282,3.36509,2.51328,2.8145
sum-f64,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,65536,2.88599,161564,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.78086,1.83088,1.81117,1.78086,1.77669,1.74543
float-key,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.92142,819804,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,6.15878,5.63066,6.3294,4.55934,6.15878,8.58149
float-key,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,4.84049,374976,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.18987,2.58385,2.164,2.18987,2.18824,2.2467
float-key,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,5.15777,374836,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.2822,2.2965,2.2822,2.24954,2.22045,2.33349
float-key,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,2,1000000,65536,4.161,832132,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,6.15968,5.75418,6.15968,6.85909,5.3009,7.04579
float-key,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,3,1000000,65536,3.85572,813140,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,7.0949,5.65434,7.18281,5.23497,7.0949,7.56902
float-key,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,65536,5.04019,375004,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.25022,2.31227,2.30432,2.23589,2.16254,2.25022
float-key,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,65536,5.27923,375196,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.33997,2.48931,2.23428,2.23047,2.33997,2.53461
