case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
selected,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,1.37131,358840,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,0.918037,1.09059,0.928472,0.918037,0.879546,0.878511
selected,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,1.24316,358036,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,0.901919,1.00917,0.901919,0.90242,0.901573,0.895891
selected,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,1.39119,153232,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,1.18404,1.16976,1.18404,1.1945,1.14787,1.18903
selected,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,1.41062,153340,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,1.13312,1.12816,1.12538,1.13889,1.15024,1.13312
selected,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,3.73307,71092,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,3.35379,3.40088,3.35228,3.35379,3.34745,3.5108
selected,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,3.77469,71156,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,3.37948,3.37948,3.37855,3.54872,3.38126,3.3681
composite,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,458752,7.92899,407728,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,1.99142,3.91897,2.23156,1.90393,1.96778,1.99142
composite,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,458752,7.90511,407516,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,2.30067,4.3951,2.51793,2.30067,2.24863,2.28542
composite,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,458752,7.03014,202880,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,4.34676,5.2165,4.5679,4.34676,4.29788,4.23635
composite,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,458752,7.83999,202660,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,4.93538,5.90538,5.06447,4.8373,4.88332,4.93538
composite,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,458752,15.2347,137088,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,11.3547,11.6401,11.385,11.2414,11.3547,11.3117
composite,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,458752,15.8327,136672,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,12.3051,12.3051,12.1421,11.727,12.4241,12.5348
binary,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,5.97952,391940,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.55737,3.11722,2.55737,2.72491,2.39389,2.3818
binary,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,5.38717,392012,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.43258,3.16607,2.43258,2.41467,2.42741,2.5053
binary,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,6.00828,186752,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,3.78333,4.10222,3.39022,3.41458,3.78333,3.80465
binary,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,7.27592,186392,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,3.71318,4.959,3.74157,3.71284,3.71318,3.27795
binary,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,19.157,116036,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,16.5981,17.0383,19.8346,16.4339,16.5981,15.9605
binary,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,16.5799,116372,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,15.6889,13.4751,15.032,18.299,15.6889,19.6512
statistics,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,4.1326,374816,ce92f3f44a9c9c78cd8ca1d9813b099e3f33f0d5ed37dd9f3bccd3bbe9164741,1.31638,2.04214,1.30617,1.31312,1.34923,1.31638
statistics,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,4.33439,374708,ce92f3f44a9c9c78cd8ca1d9813b099e3f33f0d5ed37dd9f3bccd3bbe9164741,1.39404,1.8965,1.44521,1.36025,1.34017,1.39404
statistics,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,3.76509,169764,ce92f3f44a9c9c78cd8ca1d9813b099e3f33f0d5ed37dd9f3bccd3bbe9164741,2.56875,2.56875,2.43148,2.52251,3.03466,2.84248
statistics,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,3.48161,170024,ce92f3f44a9c9c78cd8ca1d9813b099e3f33f0d5ed37dd9f3bccd3bbe9164741,2.03801,2.39114,2.35618,2.03801,1.85572,1.93681
statistics,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,6.20899,85352,ce92f3f44a9c9c78cd8ca1d9813b099e3f33f0d5ed37dd9f3bccd3bbe9164741,5.02677,5.18242,5.04186,5.00174,4.98467,5.02677
statistics,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,6.25015,85356,ce92f3f44a9c9c78cd8ca1d9813b099e3f33f0d5ed37dd9f3bccd3bbe9164741,5.35281,5.35281,5.11863,4.75898,8.35155,6.58648
count,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,0.721196,348360,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,0.572316,0.610747,0.572316,0.568132,0.577914,0.557764
count,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,0.741953,348088,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,0.650663,0.650663,0.640136,0.605974,0.666269,0.683038
count,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,1.27361,143416,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,1.14493,1.12977,1.14493,1.16852,1.14825,1.13907
count,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,1.21399,143380,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,1.08494,1.15089,1.0584,1.08494,1.10574,0.968577
count,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,1.84748,71284,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,1.66681,1.67765,1.65853,1.6694,1.66681,1.66672
count,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,1.8556,71300,67457a1d5b29926989e3244d85a4cf3b2f8a21363195d6a2759f4bbe298cb663,1.65619,1.67879,1.64965,1.66957,1.65338,1.65619
sum-i64,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,3.2502,371148,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,0.674241,1.43226,0.747788,0.6682,0.674241,0.639944
sum-i64,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,3.06305,370768,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,0.733329,1.4545,0.726211,0.733329,0.703767,0.737311
sum-i64,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,2.34893,161980,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.38255,1.18787,1.14887,1.47876,1.43512,1.38255
sum-i64,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,2.49152,161244,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.12134,1.37977,1.42645,0.972509,1.12134,1.06529
sum-i64,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,2,1000000,65536,1.99528,71292,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.71362,1.75811,1.70843,1.71562,1.71362,1.6974
sum-i64,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,2.13185,71248,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.82658,1.82658,1.84477,1.81342,1.81194,1.91477
sum-i64,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,65536,1.9172,71076,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.73701,1.7273,1.70429,1.73701,1.79339,1.78548
